,khigh,mhigh,shigh,mlow,slow
0,0.594745,5.642455,0.680786,4.679952,0.790341
1,0.839629,5.828194,0.613883,3.835807,0.660714
2,0.865282,6.245447,0.479005,3.788078,0.934105
3,0.960575,6.415538,0.435824,3.372036,0.751321
4,0.980874,6.557273,0.405739,3.044401,0.411088
5,1.0,6.668122,0.382623,,
6,1.0,6.638389,0.336407,,
7,1.0,6.694937,0.242604,,
