,khigh,klow,mhigh,mlow,shigh,slow
0,0.1717370367,-0.1797696254,0.6234222131,-0.5799667278,-0.44664187,-139.419693041
1,2.83498138739639E-11,5.47473787993461E-11,27.424416716,2.36147999753365E-09,134.42312673,61852.6175706672
2,0.1467557124,0.8812763596,3.4018021873,6.3303186749,2.90227202,1538.8589207387
