,khigh,mhigh,shigh,mlow,slow
0,0.773515,5.655308,0.696972,4.492366,0.572984
1,0.863002,5.922737,0.621889,4.013827,0.447049
2,0.874246,6.351734,0.479573,3.993512,0.682516
3,0.960377,6.525025,0.435089,3.781453,0.585691
4,0.980874,6.66227,0.403642,3.391978,0.295408
5,1.0,6.766881,0.385002,,
6,1.0,6.732352,0.341492,,
7,1.0,6.789298,0.251733,,
